1, Кравчук Анастасія Дмитрівна, 07/09/2006, Чернівці, +380981112233, Кібербезпека, 2, КБ-23
247, Павлюк Богдан Сергійович, 21/06/2006, Львів, +380981112344, Кібербезпека, 1, КБ-13
248, Коваленко Юлія Вадимівна, 15/09/2006, Одеса, +380507771122, Кібербезпека, 1, КБ-13
249, Левченко Дмитро Павлович, 03/01/2006, Харків, +380972223344, Кібербезпека, 1, КБ-13
250, Сидоренко Марія Андріївна, 17/04/2006, Дніпро, +380961112233, Кібербезпека, 1, КБ-13
251, Яремчук Олег Володимирович, 29/07/2006, Рівне, +380505668899, Кібербезпека, 1, КБ-13
252, Романенко Ірина Сергіївна, 12/10/2006, Вінниця, +380667771100, Кібербезпека, 1, КБ-13
253, Шевчук Назар Олександрович, 23/05/2006, Тернопіль, +380981223344, Кібербезпека, 1, КБ-13
254, Климчук Софія Андріївна, 08/12/2006, Черкаси, +380931112300, Кібербезпека, 1, КБ-13
255, Тимошенко Артем Ігорович, 04/02/2006, Житомир, +380981100555, Кібербезпека, 1, КБ-13
256, Литвин Вікторія Петрівна, 14/06/2006, Суми, +380995559933, Кібербезпека, 1, КБ-13
257, Бондаренко Андрій Сергійович, 19/08/2006, Кропивницький, +380505660011, Кібербезпека, 1, КБ-13
258, Гнатюк Марина Ігорівна, 07/11/2006, Чернівці, +380931224466, Кібербезпека, 1, КБ-13
259, Савченко Олексій Вадимович, 02/03/2006, Київ, +380931112277, Кібербезпека, 1, КБ-13
260, Мартинюк Аліна Сергіївна, 21/05/2006, Львів, +380981110099, Кібербезпека, 1, КБ-13
261, Сидоренко Дмитро Павлович, 14/01/2005, Київ, +380931112900, Комп’ютерна інженерія, 2, КІ-21
262, Коваленко Аліна Михайлівна, 22/04/2005, Харків, +380507778812, Комп’ютерна інженерія, 2, КІ-21
263, Литвин Максим Володимирович, 09/07/2005, Львів, +380963334400, Комп’ютерна інженерія, 2, КІ-21
264, Савенко Ірина Олександрівна, 28/03/2005, Одеса, +380987771122, Комп’ютерна інженерія, 2, КІ-21
265, Гаврилюк Тарас Миколайович, 11/11/2005, Дніпро, +380931223344, Комп’ютерна інженерія, 2, КІ-21
266, Романюк Петро Ігорович, 02/02/2005, Харків, +380972224466, Комп’ютерна інженерія, 2, КІ-22
267, Мороз Вікторія Андріївна, 13/03/2005, Київ, +380961110077, Комп’ютерна інженерія, 2, КІ-22
268, Шевченко Назар Петрович, 25/05/2005, Львів, +380505667799, Комп’ютерна інженерія, 2, КІ-22
269, Яременко Ольга Сергіївна, 30/08/2005, Одеса, +380981112900, Комп’ютерна інженерія, 2, КІ-22
270, Левченко Андрій Вадимирович, 17/09/2005, Дніпро, +380931112344, Комп’ютерна інженерія, 2, КІ-22
271, Кравчук Анастасія Дмитрівна, 07/09/2004, Чернівці, +380981110111, Кібербезпека, 3, КБ-31
272, Мельник Артем Владиславович, 19/01/2004, Запоріжжя, +380501234891, Кібербезпека, 3, КБ-31
273, Петренко Вікторія Сергіївна, 12/06/2004, Київ, +380931112245, Кібербезпека, 3, КБ-31
274, Савчук Назар Ігорович, 25/03/2004, Львів, +380678881156, Кібербезпека, 3, КБ-31
275, Козир Марія Олегівна, 18/11/2004, Одеса, +380509876612, Кібербезпека, 3, КБ-31
276, Гнатюк Ігор Вадимович, 04/02/2004, Харків, +380972225578, Кібербезпека, 3, КБ-31
277, Литвин Аліна Сергіївна, 30/07/2004, Дніпро, +380961239978, Кібербезпека, 3, КБ-31
278, Романюк Олександр Миколайович, 09/05/2004, Вінниця, +380637778900, Кібербезпека, 3, КБ-31
279, Климчук Софія Петрівна, 22/12/2003, Тернопіль, +380981007656, Кібербезпека, 3, КБ-31
280, Мороз Віктор Віталійович, 15/04/2004, Рівне, +380505667789, Кібербезпека, 3, КБ-31
281, Шевченко Дарина Андріївна, 07/09/2004, Луцьк, +380991112245, Кібербезпека, 3, КБ-33
282, Яременко Богдан Сергійович, 10/03/2004, Кропивницький, +380931004467, Кібербезпека, 3, КБ-33
283, Левчук Марина Ігорівна, 21/08/2004, Черкаси, +380961112300, Кібербезпека, 3, КБ-33
284, Бондаренко Артем Олександрович, 03/11/2004, Житомир, +380981234556, Кібербезпека, 3, КБ-33
285, Кушнір Олена Володимирівна, 12/06/2004, Суми, +380995559901, Кібербезпека, 3, КБ-33
286, Захарчук Анна Олегівна, 01/01/2003, Київ, +380961239876, Обчислювальний інтелект, 3, ОІ-32
287, Іваненко Петро Миколайович, 22/07/2003, Львів, +380678881122, Обчислювальний інтелект, 3, ОІ-32
288, Романюк Сергій Вадимирович, 15/03/2003, Харків, +380972225599, Обчислювальний інтелект, 3, ОІ-32
289, Козир Марина Олексіївна, 20/06/2003, Дніпро, +380961223344, Обчислювальний інтелект, 3, ОІ-32
290, Бондаренко Артем Сергійович, 12/09/2003, Одеса, +380509998877, Обчислювальний інтелект, 3, ОІ-32
291, Левчук Андрій Олександрович, 02/02/2003, Київ, +380931223344, Обчислювальний інтелект, 3, ОІ-33
292, Шевченко Катерина Сергіївна, 19/04/2003, Львів, +380981112300, Обчислювальний інтелект, 3, ОІ-33
293, Гнатюк Максим Ігорович, 30/05/2003, Харків, +380972225500, Обчислювальний інтелект, 3, ОІ-33
294, Романенко Олександр Вадимирович, 17/08/2003, Дніпро, +380961239900, Обчислювальний інтелект, 3, ОІ-33
295, Климчук Марія Петрівна, 05/11/2003, Одеса, +380505667700, Обчислювальний інтелект, 3, ОІ-33
296, Гнатюк Марія Сергіївна, 14/02/2007, Ужгород, +380972225566, Психологія, 1, ПС-11
297, Петренко Ігор Сергійович, 10/05/2007, Одеса, +380509876543, Психологія, 1, ПС-11
298, Литвин Олена Володимирівна, 02/09/2007, Київ, +380961112244, Психологія, 1, ПС-11
299, Савчук Богдан Олександрович, 18/12/2007, Львів, +380678881133, Психологія, 1, ПС-11
300, Мороз Анна Вікторівна, 07/03/2007, Харків, +380972225500, Психологія, 1, ПС-11
301, Кравчук Ірина Сергіївна, 11/01/2005, Київ, +380931112222, Психологія, 3, ПС-31
302, Мельник Андрій Владиславович, 19/04/2005, Львів, +380981110033, Психологія, 3, ПС-31
303, Петренко Вікторія Ігорівна, 06/06/2005, Одеса, +380509998811, Психологія, 3, ПС-31
304, Савчук Назар Андрійович, 25/08/2005, Харків, +380972225511, Психологія, 3, ПС-31
305, Козир Марина Сергіївна, 15/11/2005, Дніпро, +380961239911, Психологія, 3, ПС-31
306, Соколенко Ліза Олексіївна, 25/12/2008, Полтава, +380931007654, Філологія (англійська), 2, ФА-22
307, Данилюк Олександр Ігорович, 03/05/2007, Вінниця, +380637778899, Філологія (англійська), 2, ФА-22
308, Гнатюк Марія Сергіївна, 14/02/2007, Ужгород, +380972225566, Філологія (англійська), 2, ФА-22
309, Петренко Ігор Сергійович, 10/05/2004, Одеса, +380509876543, Філологія (англійська), 2, ФА-22
310, Захарчук Анна Олегівна, 01/01/2003, Київ, +380961239876, Філологія (англійська), 2, ФА-22
